임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,월매출
121776,2771,3017,4232,4831,5094,4869,3133,1501,722,2730,2315,2509,2720,3156.051,24211.33,28,30,4,295,1,5,4,10,5,1,1.14E+08
103327,1160,1219,4094,3854,3757,5236,3177,1599,531,5228,2065,1432,1107,2923.687,12739.48,33,37,15,435,1,12,14,48,4,0,76593672
110851,1193,1555,4630,4647,3629,3639,2250,1387,458,5853,2352,1663,1245,4627.053,11830.74,28,35,6,436,1,8,15,63,1,0,56779022
98962,1890,2408,3550,4105,4311,4272,3108,1652,568,3752,2333,2102,1870,3356.907,31771.64,16,38,11,246,4,7,3,13,5,0,58195247
126248,2196,2875,4920,5104,5050,5020,3065,1588,625,3923,2454,2510,2540,9576.546,45329.39,31,68,8,421,2,8,10,19,10,1,73109885
120833,1667,1755,5576,5427,4757,5363,3805,2595,951,9148,2990,1962,1604,28668.4,52969.27,61,110,38,698,7,6,18,25,3,2,62042207
124386,1342,1764,5650,3855,3627,4183,3681,2480,946,6522,2510,1740,1412,6055.097,31044.94,27,138,29,478,1,4,6,6,2,1,68994146
127935,1935,2246,4458,4314,4506,5041,3785,2492,842,6623,2736,2209,1850,2877.728,24589.77,30,44,26,412,4,11,14,17,9,0,57522388
133717,1518,2022,2688,2672,3462,3330,2416,1551,613,2028,1767,1736,1540,2894.443,35118.23,15,28,1,149,1,3,6,9,3,0,74310994
122658,2452,1996,3726,4852,4310,4037,2691,1654,596,4238,2189,2113,1879,4930.61,36781.96,32,40,19,238,1,2,11,18,3,0,58958345
94022,1981,2430,3916,4125,4788,5109,3756,2326,839,3963,2787,2383,2169,3851.855,24568.69,16,35,4,183,4,5,4,17,5,0,60871899
105897,2913,2956,5368,6951,6592,6327,4862,2540,757,6830,3604,3097,2655,12915.82,28596.81,54,70,21,631,9,17,24,40,0,0,66197618
95242,2844,2920,3643,4995,5688,4735,3703,1966,595,4148,2601,2627,2425,6689.339,15502.47,34,78,31,575,1,8,25,35,13,0,67883641
123481,1105,1454,2866,2914,3220,4216,3557,2419,913,4789,2298,1634,1306,5756.013,26835.05,17,78,18,353,5,6,12,19,2,1,56329957
172855,592,1040,4628,1765,1429,1240,930,719,266,3680,860,609,538,3759.537,36156.92,25,29,7,473,1,9,12,28,3,0,61175789
128554,608,945,3908,2115,1937,2062,1553,1029,386,3793,1225,861,718,2104.718,11474.37,17,28,16,213,1,5,2,14,3,1,64325948
116193,1626,2404,5138,3433,3864,3617,2780,1622,558,4893,2018,1845,1774,3498.884,35852.26,16,24,0,137,7,2,5,3,2,0,87485639
124405,1318,2263,8442,4086,4132,4221,3101,2212,823,7985,2541,1805,1480,5685.433,18051.33,36,47,5,455,1,13,7,16,8,1,92601967
68702,1592,2133,3183,3061,3698,3612,2654,1681,570,2755,1927,1709,1732,985.8893,18422.01,14,28,6,104,1,1,3,6,3,1,55881939
88047,1706,2035,3656,4069,4325,5043,3281,1860,609,5221,2672,2071,1692,2624.875,95697.08,21,41,10,272,4,2,9,26,2,0,39050107
74020,1361,1551,3069,3266,3404,3492,2737,1670,401,3945,2115,1687,1348,2398.398,46432.6,13,38,2,150,1,1,5,10,0,1,57410857
72812,641,768,1403,1597,1636,1920,1288,745,230,1896,1093,814,648,1143.29,13877.21,6,20,5,96,6,4,6,6,2,0,29137686
88627,2029,2504,5688,6102,5837,6675,4493,2512,765,7971,3857,2853,2133,2918.551,12283.92,29,66,7,418,0,9,10,35,1,1,73360264
87874,1294,1488,3252,3429,3405,4154,3089,1697,581,4147,2284,1791,1444,1077.806,28566.42,17,32,4,232,1,4,7,23,4,0,75762724
87998,1435,1926,4101,4073,4280,5052,3665,2131,678,5408,2830,2190,1665,3643.236,12451.6,20,40,11,423,1,13,18,57,3,1,59249315
92636,2053,2372,3871,3890,4019,4591,2846,1519,552,2942,2256,2206,2157,2906.259,23522.91,15,44,0,149,2,4,4,9,1,0,37499442
103275,919,1021,3278,3806,2792,3201,2240,1249,376,5361,2020,1327,963,7809.272,20390.28,35,37,47,513,2,15,21,71,1,2,79346012
62236,1548,1522,3202,3520,2945,3726,2668,1365,454,2970,2071,1762,1505,1946.489,30935.2,18,32,0,106,0,0,0,5,2,1,21751974
89193,1317,1731,4075,4339,4358,5839,3982,2273,700,7059,3109,2127,1501,4471.419,20404.02,15,53,10,404,5,5,14,46,2,1,95204660
105330,2857,3361,5011,5805,6106,5708,4177,2360,790,4468,3127,3075,2866,3150.981,28155.26,23,50,3,271,0,4,7,18,5,1,50932611
110387,1358,1444,3051,3454,3188,3421,2641,1423,411,3658,2096,1708,1276,1910.103,25482.61,13,35,3,240,3,0,12,29,2,0,41653836
87497,1874,2289,4558,4666,4777,6151,4493,2343,798,6336,3116,2558,2027,5382.066,12018.26,31,60,30,509,7,8,14,48,2,2,67943131
67218,1056,1499,2611,2615,2856,3503,2458,1358,470,3544,1967,1494,1137,1736.801,47389.14,11,28,0,143,2,2,3,6,2,0,37268307
92915,4237,3930,5404,5841,6406,6903,4673,2635,1013,3147,3143,3143,3647,7100.374,23542.69,20,35,3,284,3,8,9,18,6,0,43758370
121844,1699,2142,2807,3463,3684,3788,2867,1491,632,2546,2181,2016,1776,4535.157,17750.32,9,15,0,141,0,1,3,2,2,1,73737065
139088,1007,1486,2872,2766,2988,2817,1890,1377,643,3572,1700,1218,1044,2857.766,20452.64,18,21,0,188,0,2,1,2,2,0,33522341
110147,1565,2398,4881,4049,4537,4008,2819,1939,725,5939,2425,1900,1765,6704.199,46917.54,36,66,10,576,1,5,16,20,10,2,53740643
157886,748,1152,4603,2882,2286,1916,1429,1056,391,5441,1431,973,743,6221.796,14631.15,41,46,23,654,0,6,15,36,8,0,56742466
129046,1039,1657,2293,2268,2709,2802,2060,1193,466,1751,1484,1411,1320,1005.476,36153.6,7,10,0,40,1,1,1,2,4,0,26051017
105655,2447,3015,3008,3389,4905,3950,2386,1399,607,1502,1719,2149,2363,821.1067,22303.95,4,5,0,9,0,0,1,0,0,0,43410743
131905,608,1240,5854,2487,2081,2179,1419,1010,386,5404,1372,913,778,9863.283,14669.47,49,32,1,475,2,20,18,21,0,1,60155861
96817,1157,1158,3030,3066,2855,2699,1780,1068,421,3647,1595,1309,1148,3648.516,15839.46,19,30,5,198,6,3,3,7,1,1,45184213
107330,1494,1906,2586,2736,3378,2748,1993,1338,482,1999,1486,1581,1464,1065.841,16855.98,11,25,2,127,2,1,3,5,6,1,1.35E+08
115222,1807,2202,3196,3427,4016,3913,3084,1871,683,2893,2211,2057,1857,1542.255,23307.79,15,25,3,152,4,4,5,9,0,0,51955946
101198,865,1325,3834,2234,2301,2493,2123,1514,565,3663,1464,1169,923,3340.153,80947.33,13,24,0,170,0,3,8,3,2,0,89724124
91713,2104,2566,3435,3952,4794,4203,3334,2116,709,3546,2487,2381,2002,2392.454,28506.3,15,40,4,172,1,5,10,7,5,1,73582733
111214,4786,4860,3487,5810,8374,4567,3124,2023,699,2555,2380,3193,3842,2160.383,16544.03,6,27,5,197,0,2,5,9,3,1,1.89E+08
86189,907,1085,1586,1641,2065,1953,1496,856,311,1905,973,888,924,1544.246,17309.54,7,17,2,125,3,2,3,3,3,0,70482544
83610,3322,4201,7129,6122,7094,6384,4293,2868,1174,6038,3421,3295,3175,3805.612,27742.34,28,38,13,328,9,10,12,21,4,1,62165481
111180,2560,2857,3140,4020,5126,4257,3262,2054,661,3077,2343,2246,2348,3135.592,12350.94,16,45,12,251,2,3,4,12,2,0,45799094
101334,1479,1710,3520,3121,3228,3173,2483,1506,586,3606,1761,1550,1415,5509.612,40062.75,25,33,4,334,3,8,8,22,1,2,56801081
59940,1155,1886,3057,2695,3451,3962,2797,1633,521,3186,2101,1688,1480,923.448,32060.79,11,33,3,151,5,4,2,9,0,0,70864825
75714,832,1373,2286,2060,2674,3182,2463,1644,541,2771,1746,1385,1056,2018.179,13819.74,11,44,6,230,2,2,4,11,0,1,52152471
93534,894,1126,1478,1550,2043,2112,1518,920,300,1722,1038,912,909,1594.758,35705.31,5,29,3,105,5,1,3,1,1,0,76146306
79588,2109,2473,5094,4881,5280,5913,4578,2873,885,5702,3286,2766,2223,4922.451,18615.4,24,51,12,394,2,4,11,19,2,0,65595667
83920,1783,2504,3627,3884,4494,5073,3726,2351,750,4783,2851,2324,1842,1417.946,18263.92,14,52,8,172,4,10,7,14,3,3,33872968
100387,1073,1648,3824,3366,3517,4033,3086,1924,640,5285,2401,1710,1301,2997.623,27489.66,32,41,31,381,2,6,13,28,2,1,48664661
124516,1616,2260,4349,4308,4771,5133,4109,2604,787,5377,2821,2290,1916,3278.347,23713.05,25,56,28,504,2,6,11,44,3,1,67839638
88510,1498,2106,4013,4006,4529,5573,4235,2708,898,6049,3052,2253,1815,3345.79,28528.94,27,53,22,431,3,2,11,21,1,0,46934575
120304,3669,4353,3438,4703,7105,4802,3047,1859,662,2524,2387,2753,3319,1316.555,15745.94,8,19,1,132,0,3,3,6,3,0,83953971
95096,918,1308,3386,3119,3268,3270,2422,1666,508,5141,2109,1451,1048,4668.442,19219.61,33,36,42,381,6,4,6,37,1,0,70418436
74150,940,1394,2320,2265,2822,3023,2510,1862,524,2483,2051,1532,1096,2023.495,42653.47,7,16,1,71,1,2,3,4,1,0,49983180
78193,1183,1697,2225,2251,3140,2953,2690,2343,572,2069,2088,1658,1312,1503.667,25383.61,8,23,0,91,3,6,3,3,5,0,81271045
88510,1256,1642,3329,3150,3418,3893,2963,1901,649,4452,2246,1760,1307,2893.086,18103.27,19,44,38,258,3,4,8,14,2,1,64579913
73407,1321,1743,3124,2985,3548,3938,3050,2052,779,3204,2389,1892,1525,2012.38,21506.54,18,31,3,239,1,9,8,20,2,1,50180127
101505,1103,1361,4239,3889,3638,4164,3081,2013,675,6199,2549,1845,1249,4894.44,9897.33,33,64,41,714,4,14,26,122,1,1,74710866
68861,1390,1681,2855,2879,3408,3691,3060,2111,711,3407,2276,1856,1392,2360.134,26453.4,15,48,12,363,0,1,6,20,1,3,84864169
63163,2032,2539,4453,4511,5022,5685,4597,2996,1075,5247,3459,2738,2091,3897.557,21506.47,28,49,11,240,3,2,5,11,4,0,37846162
107254,1981,2571,3605,3977,4706,4392,3106,1894,728,3368,2470,2347,2156,1458.283,24570.26,15,31,0,170,2,3,7,13,5,1,82524399
80417,2340,2732,4562,4834,5144,5394,3631,2137,728,3514,2955,2741,2369,3721.867,18919.96,19,32,0,179,4,9,5,11,2,0,63040542
74091,1017,1277,1991,2038,2492,2682,1984,1291,432,2439,1622,1259,1005,1003.293,22075.53,11,19,0,171,1,1,3,15,0,0,31772557
218012,2154,3152,3929,3757,5043,5022,3013,1640,811,2615,2206,2349,2642,3175.472,22285.52,17,25,6,218,2,8,7,18,4,0,59789489
139074,1915,2341,3764,3912,4037,4636,3254,1698,683,2454,2234,2362,2182,5305.694,24064.9,18,28,2,265,3,5,13,19,9,1,89857658
69514,1167,1493,2945,2917,3325,4175,3641,2531,811,3917,2679,1830,1354,3342.228,17707.43,23,42,9,394,7,3,8,30,2,0,61962294
88623,1971,2076,3566,4117,4180,4898,4601,2632,969,3793,3021,2525,2029,3540.311,23122.22,13,34,4,242,2,3,3,12,5,2,31337536
88584,1367,2075,3176,2799,3632,3809,2916,1946,606,2929,2191,1895,1547,2537.922,25619.88,18,35,0,152,6,2,5,3,1,0,58834495
94776,1251,1754,2830,3003,3181,3492,2651,1590,641,2853,2121,1792,1366,3018.443,30361.17,14,26,5,223,6,8,7,21,2,0,57167541
108029,1025,1211,2587,2648,2697,2896,2258,1562,471,2895,1798,1426,1142,2135.216,40101.15,16,32,2,161,1,4,3,7,1,0,45824107
144198,1395,2286,2892,2535,3360,3660,2401,1107,506,1502,1476,1733,1944,1148.471,24023.56,10,14,0,59,0,3,0,1,9,0,75750321
88058,1886,2628,4329,3876,4833,5626,4203,2368,757,4353,2899,2452,2167,3465.283,38789.21,24,43,3,529,13,13,30,53,1,1,98309480
101506,1222,1883,2999,2743,3508,4029,3020,1827,632,3548,2317,1843,1411,876.973,6700.848,12,40,2,179,2,1,5,13,2,0,88851541
58673,2288,3215,3991,3603,4883,5334,3662,1687,870,1717,2211,2621,2735,2624.677,45965.42,9,23,0,116,0,0,7,5,2,0,73209271
103361,1611,1960,4195,3396,3737,3758,3003,1780,609,4264,2126,1766,1742,2660.817,29286.16,36,30,6,368,2,14,20,42,3,2,48718168
88942,1888,2446,3236,3510,4439,4527,3814,2177,843,3636,2895,2217,1922,2143.544,33555.62,18,27,0,102,0,0,1,3,1,0,37449910
128814,2938,2556,3938,5536,5187,5029,4284,2424,903,3466,3409,2963,2470,1683.986,15896.75,9,20,0,82,1,1,0,0,0,1,52182379
105489,2570,3296,7149,6357,5956,6250,4870,2452,872,7702,3666,3040,2732,10667.73,35357.39,48,59,7,552,9,8,18,30,4,2,46035129
97328,3504,5080,6757,5874,7283,6249,3976,2017,809,5087,2972,3223,3781,6121.341,45211.7,41,37,1,394,3,12,19,30,6,1,66374872
87420,1394,4338,5658,3040,5001,5155,3044,1687,790,4620,2292,2228,2551,8096.626,18205.85,21,27,0,209,2,3,2,4,7,0,56591822
128814,1733,3340,3384,2823,4582,4112,2138,1281,609,1545,1722,2048,2391,647.1061,46955.47,4,12,0,45,0,2,0,0,3,1,28263165
152734,1724,4955,3780,2094,5850,4802,2097,1119,545,2127,1367,1947,2916,2342.972,37286.08,14,26,0,210,1,4,7,8,12,0,68108330
210576,2034,6172,3354,2099,7210,4427,1722,1001,461,1391,1275,2253,3454,1562.622,15327.16,14,23,0,159,0,4,1,4,13,0,63248320
143662,1402,2699,2764,2391,4017,3614,2573,1686,630,2338,1931,1702,1940,2399.048,24630.01,11,27,0,256,0,5,10,25,7,0,54384989
208505,2698,3971,4687,5068,6829,5873,4557,3133,1316,4599,3880,3267,2977,2800.978,28808.52,9,42,0,173,1,1,2,2,1,1,1.21E+08
117448,2860,3924,5924,5573,6580,7361,5104,2737,1076,4242,3499,3366,3431,6777.946,16902.53,27,44,2,410,3,9,17,36,6,1,54091082
151481,1199,2229,3630,2614,3554,4076,2559,1339,520,3003,1675,1643,1891,4511.057,19063.3,25,58,0,686,3,11,25,66,11,1,1.30E+08
82843,1488,2392,3285,3073,4331,4921,3923,2698,927,4541,2793,2074,1817,3413.984,43664.92,15,56,3,245,0,5,12,22,4,1,43406546
94242,1430,2580,3762,3160,4351,4810,3369,2210,812,3812,2622,2202,1937,2086.638,13268.64,12,34,5,234,0,10,9,16,6,1,45182682
158613,3139,3721,4881,5548,6448,5637,3504,1823,872,4021,3133,3136,3055,6852.535,24158.05,28,35,14,311,3,4,11,24,9,0,73827405
185570,3049,2606,2653,5523,4321,2948,2050,1084,498,2107,2176,2365,2191,1147.821,32736.36,6,11,0,62,0,2,0,4,2,1,88389112
156429,1800,2593,2860,3248,4090,3604,2540,1269,558,1965,2050,2040,2016,1269.257,15712.31,7,18,0,70,0,1,1,3,6,0,63105192
128814,1235,1715,2501,2798,2956,2842,1892,813,410,1679,1622,1634,1420,1000.695,28690.11,5,12,0,30,1,2,1,5,2,0,32735135
96273,2226,2447,4406,5223,5388,5453,4144,2746,954,5957,3332,2656,2140,6651.87,21976.62,26,52,8,313,5,8,9,18,1,2,54243217
117929,3103,3185,5683,6363,6831,6995,4989,3393,1277,6079,4123,3680,2885,2793.943,27772.71,13,24,5,228,0,4,4,17,4,1,46448386
104358,1558,2316,4376,4435,4726,5196,3965,2583,855,5506,3267,2424,1824,2812.485,20252.75,25,58,13,343,5,8,8,9,1,1,65003032
95771,1336,2115,3956,3631,4015,4347,3208,1989,624,4263,2622,2082,1607,2379.507,27107,21,38,9,414,3,10,15,41,4,0,55514444
109404,2010,3163,4467,4643,5241,4993,3410,2130,740,3971,2893,2677,2227,3136.811,31173.73,34,54,1,379,2,10,14,32,5,0,41367419
83293,2272,3186,4554,4621,5643,5701,4286,2587,915,3606,2990,2764,2512,4423.94,53905.27,24,41,1,146,0,0,1,4,5,1,59621074
102072,1901,2443,5275,5471,5249,5185,3906,2635,853,7258,3435,2477,1935,3504.551,30072.72,33,66,46,548,0,8,14,33,3,1,74305258
115080,1883,2773,3404,4177,4641,3820,2873,1879,678,4411,2425,1993,1784,4138.783,8875.764,27,35,7,280,1,5,9,16,10,0,68752411
85725,2362,1981,2319,3728,4063,2998,2166,1383,468,2432,1866,1871,1698,1376.771,12904.13,4,9,0,70,0,0,3,6,0,0,10179624
93465,1311,2042,3672,3707,4172,4564,3514,2535,930,5511,2799,2060,1549,2043.734,18842.92,28,53,12,468,5,10,20,42,6,0,91070231
