code,profitscore,stablescore,profit,stable
11590650,324,111,123456,31.4
11590651,325,110,123456,31.5
11590660,326,109,123456,31.6
11590670,327,108,123456,31.7
11590680,328,107,123456,31.8
11620525,329,106,123456,31.9
11620545,330,105,123456,32
11620565,331,104,123456,32.1
11620575,332,103,123456,32.2
11620585,333,102,123456,32.3
11620595,334,101,123456,32.4
11620605,335,100,123456,32.5
11620615,336,99,123456,32.6
11620625,337,98,123456,32.7
11620630,338,97,123456,32.8
11620645,339,96,123456,32.9
11620655,340,95,123456,33
11620665,341,94,123456,33.1
11620685,342,93,123456,33.2
11620695,343,92,123456,33.3
11620715,344,91,123456,33.4
11620725,345,90,123456,33.5
11620735,346,89,123456,33.6
11620745,347,88,123456,33.7
11620765,348,87,123456,33.8
11620775,349,86,123456,33.9
11650510,350,85,123456,34
11650520,351,84,123456,34.1
11650530,352,83,123456,34.2
11650531,353,82,123456,34.3
11650540,354,81,123456,34.4
11650550,355,80,123456,34.5
11650560,356,79,123456,34.6
11650570,357,78,123456,34.7
11650580,358,77,123456,34.8
11650581,359,76,123456,34.9
11650590,360,75,123456,35
11650600,361,74,123456,35.1
11650610,362,73,123456,35.2
11650620,363,72,123456,35.3
11650621,364,71,123456,35.4
11650651,365,70,123456,35.5
11650652,366,69,123456,35.6
11650660,367,68,123456,35.7
11680510,368,67,123456,35.8
11680521,369,66,123456,35.9
11680531,370,65,123456,36
11680545,371,64,123456,36.1
11680565,372,63,123456,36.2
11680580,373,62,123456,36.3
11680590,374,61,123456,36.4
11680600,375,60,123456,36.5
11680610,376,59,123456,36.6
11680630,377,58,123456,36.7
11680640,378,57,123456,36.8
11680650,379,56,123456,36.9
11680655,380,55,123456,37
11680656,381,54,123456,37.1
11680660,382,53,123456,37.2
11680670,383,52,123456,37.3
11680690,384,51,123456,37.4
11680700,385,50,123456,37.5
11680720,386,49,123456,37.6
11680730,387,48,123456,37.7
11680740,388,47,123456,37.8
11680750,389,46,123456,37.9
11710510,390,45,123456,38
11710520,391,44,123456,38.1
11710531,392,43,123456,38.2
11710532,393,42,123456,38.3
11710540,394,41,123456,38.4
11710550,395,40,123456,38.5
11710561,396,39,123456,38.6
11710562,397,38,123456,38.7
11710566,398,37,123456,38.8
11710570,399,36,123456,38.9
11710580,400,35,123456,39
11710590,401,34,123456,39.1
11710600,402,33,123456,39.2
11710610,403,32,123456,39.3
11710620,404,31,123456,39.4
11710631,405,30,123456,39.5
11710632,406,29,123456,39.6
11710641,407,28,123456,39.7
11710642,408,27,123456,39.8
11710646,409,26,123456,39.9
11710647,410,25,123456,40
11710650,411,24,123456,40.1
11710670,412,23,123456,40.2
11710680,413,22,123456,40.3
11710690,414,21,123456,40.4
11710710,415,20,123456,40.5
11710720,416,19,123456,40.6
11740515,417,18,123456,40.7
11740520,418,17,123456,40.8
11740530,419,16,123456,40.9
11740540,420,15,123456,41
11740550,421,14,123456,41.1
11740560,422,13,123456,41.2
11740570,423,12,123456,41.3
11740580,424,11,123456,41.4
11740590,425,10,123456,41.5
11740600,426,9,123456,41.6
11740610,427,8,123456,41.7
11740620,428,7,123456,41.8
11740640,429,6,123456,41.9
11740650,430,5,123456,42
11740660,431,4,123456,42.1
11740685,432,3,123456,42.2
11740690,433,2,123456,42.3
11740700,434,1,123456,42.4
